,cit_dis_sch,school,district,city,enroll_act,testtakers_act,reading_act,english_act,math_act,science_act,num_above21_act,pct_above21_act,enroll_sat,testtakers_sat,num_erw_benchmark_sat,pct_erw_benchmark_sat,num_math_benchmark_sat,pct_math_benchmark_sat,num_tot_benchmark_sat,pct_tot_benchmark_sat,act_participation,sat_participation
436,19649071995901.0,Diamond Ranch High,Pomona Unified,Los Angeles,377.0,82.0,23.0,22.0,21.0,22.0,47.0,0.5732,377.0,211.0,163.0,0.7725,86.0,0.4076,85.0,0.4028,0.21750663129973474,0.5596816976127321
437,44697994430245.0,Diamond Technology Institute,Pajaro Valley Unified,Santa Cruz,11.0,7.0,22.08,21.2,21.42,21.36,3.85,0.55,11.0,4.0,3.0,0.6836,2.0,0.4786,2.0,0.4529,0.6363636363636364,0.36363636363636365
439,19647330124503.0,Diego Rivera Learning Complex Green Design STEAM Academy,Los Angeles Unified,Los Angeles,103.0,6.0,22.08,21.2,21.42,21.36,3.3,0.55,103.0,23.0,9.0,0.3913,9.0,0.3913,7.0,0.3043,0.05825242718446602,0.22330097087378642
442,54755315431184.0,Dinuba High,Dinuba Unified,Tulare,423.0,96.0,18.0,16.0,17.0,19.0,18.0,0.1875,423.0,115.0,67.0,0.5826,37.0,0.3217,35.0,0.3043,0.22695035460992907,0.2718676122931442
443,19647330115253.0,Discovery Charter Preparatory School #2,Los Angeles Unified,Los Angeles,60.0,11.0,22.08,21.2,21.42,21.36,6.05,0.55,60.0,42.0,12.0,0.2857,4.0,0.0952,4.0,0.0952,0.18333333333333332,0.7
444,34752833430626.0,Discovery High,Natomas Unified,Sacramento,74.0,6.0,22.08,21.2,21.42,21.36,3.3,0.55,74.0,3.0,2.0,0.6836,1.0,0.4786,1.0,0.4529,0.08108108108108109,0.04054054054054054
445,48705324832259.0,Dixon High,Dixon Unified,Solano,246.0,67.0,21.0,20.0,21.0,20.0,34.0,0.5075,246.0,94.0,73.0,0.7766,62.0,0.6596,59.0,0.6277,0.27235772357723576,0.3821138211382114
446,19734371932326.0,Dominguez High,Compton Unified,Los Angeles,391.0,268.0,15.0,14.0,16.0,15.0,13.0,0.0485,391.0,101.0,36.0,0.3564,12.0,0.1188,10.0,0.099,0.6854219948849105,0.25831202046035806
447,36676783630035.0,Don Antonio Lugo High,Chino Valley Unified,San Bernardino,432.0,22.0,21.0,22.0,21.0,21.0,9.0,0.4091,432.0,282.0,149.0,0.5284,81.0,0.2872,66.0,0.234,0.05092592592592592,0.6527777777777778
449,24753172431203.0,Dos Palos High,Dos Palos Oro Loma Joint Unified,Merced,159.0,2.0,22.08,21.2,21.42,21.36,1.1,0.55,159.0,43.0,22.0,0.5116,9.0,0.2093,7.0,0.1628,0.012578616352201259,0.27044025157232704
450,42767864231726.0,Dos Pueblos Senior High,Santa Barbara Unified,Santa Barbara,486.0,155.0,25.0,25.0,25.0,24.0,107.0,0.6903,486.0,191.0,169.0,0.8848,144.0,0.7539,142.0,0.7435,0.31893004115226337,0.39300411522633744
451,7618040113118.0,Dougherty Valley High,San Ramon Valley Unified,Contra Costa,766.0,294.0,30.0,30.0,30.0,29.0,281.01,0.9558,766.0,270.0,262.0,0.9704,248.0,0.9185,244.0,0.9037,0.3838120104438642,0.3524804177545692
452,19644511932441.0,Downey High,Downey Unified,Los Angeles,1050.0,87.0,23.0,22.0,22.0,22.0,59.0,0.6782,1050.0,396.0,285.0,0.7197,196.0,0.4949,184.0,0.4646,0.08285714285714285,0.37714285714285717
453,19647331932888.0,Downtown Business High,Los Angeles Unified,Los Angeles,203.0,102.0,22.0,21.0,22.0,22.0,61.0,0.598,203.0,154.0,118.0,0.7662,84.0,0.5455,82.0,0.5325,0.5024630541871922,0.7586206896551724
454,43104390123257.0,Downtown College Prep - Alum Rock,Santa Clara County Office of Education,Santa Clara,61.0,38.0,17.0,16.0,17.0,17.0,7.0,0.1842,61.0,19.0,9.0,0.4737,4.0,0.2105,4.0,0.2105,0.6229508196721312,0.3114754098360656
455,43696664330585.0,Downtown College Preparatory,San Jose Unified,Santa Clara,85.0,57.0,16.0,15.0,16.0,17.0,5.0,0.0877,85.0,56.0,17.0,0.3036,4.0,0.0714,3.0,0.0536,0.6705882352941176,0.6588235294117647
456,7616480117218.0,Dozier-Libbey Medical High,Antioch Unified,Contra Costa,143.0,19.0,23.0,21.0,21.0,21.0,10.0,0.5263,143.0,56.0,41.0,0.7321,25.0,0.4464,25.0,0.4464,0.13286713286713286,0.3916083916083916
457,19647330124479.0,Dr. Maya Angelou Community High,Los Angeles Unified,Los Angeles,147.0,27.0,17.0,15.0,16.0,16.0,1.0,0.037,147.0,97.0,27.0,0.2784,6.0,0.0619,6.0,0.0619,0.1836734693877551,0.6598639455782312
458,19647330102921.0,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,Los Angeles Unified,Los Angeles,118.0,24.0,25.0,25.0,23.0,22.0,19.0,0.7917,118.0,97.0,86.0,0.8866,63.0,0.6495,62.0,0.6392,0.2033898305084746,0.8220338983050848
459,43694840114496.0,Dr. TJ Owens Gilroy Early College Academy,Gilroy Unified,Santa Clara,64.0,11.0,22.08,21.2,21.42,21.36,6.05,0.55,64.0,55.0,50.0,0.9091,43.0,0.7818,41.0,0.7455,0.171875,0.859375
460,19644691932482.0,Duarte High,Duarte Unified,Los Angeles,199.0,28.0,20.0,20.0,18.0,19.0,10.0,0.3571,199.0,73.0,45.0,0.6164,17.0,0.2329,15.0,0.2055,0.1407035175879397,0.36683417085427134
461,1750930132704.0,Dublin High,Dublin Unified,Alameda,622.0,216.0,28.0,28.0,28.0,27.0,186.99,0.8657,622.0,271.0,255.0,0.941,214.0,0.7897,212.0,0.7823,0.34726688102893893,0.43569131832797425
464,4614320433201.0,Durham High,Durham Unified,Butte,72.0,3.0,22.08,21.2,21.42,21.36,1.65,0.55,72.0,31.0,30.0,0.9677,21.0,0.6774,21.0,0.6774,0.041666666666666664,0.4305555555555556
465,37683380127647.0,e3 Civic High,San Diego Unified,San Diego,81.0,4.0,22.08,21.2,21.42,21.36,2.2,0.55,81.0,32.0,21.0,0.6563,12.0,0.375,12.0,0.375,0.04938271604938271,0.3950617283950617
466,19647331932540.0,Eagle Rock High,Los Angeles Unified,Los Angeles,420.0,38.0,25.0,25.0,23.0,23.0,25.0,0.6579,420.0,251.0,198.0,0.7888,135.0,0.5378,134.0,0.5339,0.09047619047619047,0.5976190476190476
468,30665970111666.0,Early College High,Newport-Mesa Unified,Orange,50.0,38.0,24.0,24.0,23.0,23.0,24.0,0.6316,50.0,15.0,12.0,0.8,8.0,0.5333,8.0,0.5333,0.76,0.3
469,15635291532290.0,East Bakersfield High,Kern High,Kern,533.0,34.0,19.0,17.0,18.0,18.0,7.0,0.2059,533.0,133.0,74.0,0.5564,36.0,0.2707,30.0,0.2256,0.06378986866791744,0.24953095684803
470,1613090111799.0,East Bay Arts High,San Lorenzo Unified,Alameda,42.0,1.0,22.08,21.2,21.42,21.36,0.55,0.55,42.0,16.0,9.0,0.5625,4.0,0.25,4.0,0.25,0.023809523809523808,0.38095238095238093
471,19647330122374.0,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,Los Angeles Unified,Los Angeles,94.0,23.0,17.0,16.0,16.0,18.0,2.0,0.087,94.0,41.0,11.0,0.2683,2.0,0.0488,2.0,0.0488,0.24468085106382978,0.43617021276595747
472,51713735132758.0,East Nicolaus High,East Nicolaus Joint Union High,Sutter,79.0,9.0,22.08,21.2,21.42,21.36,4.95,0.55,79.0,35.0,26.0,0.7429,16.0,0.4571,16.0,0.4571,0.11392405063291139,0.4430379746835443
473,41690620126722.0,East Palo Alto Academy,Sequoia Union High,San Mateo,65.0,2.0,22.08,21.2,21.42,21.36,1.1,0.55,65.0,33.0,10.0,0.303,5.0,0.1515,4.0,0.1212,0.03076923076923077,0.5076923076923077
474,39685933932001.0,East Union High,Manteca Unified,San Joaquin,392.0,29.0,21.0,20.0,22.0,20.0,13.0,0.4483,392.0,113.0,82.0,0.7257,48.0,0.4248,45.0,0.3982,0.07397959183673469,0.288265306122449
475,19647330112037.0,East Valley Senior High,Los Angeles Unified,Los Angeles,141.0,15.0,16.0,15.0,16.0,17.0,1.0,0.0667,141.0,82.0,20.0,0.2439,8.0,0.0976,7.0,0.0854,0.10638297872340426,0.5815602836879432
476,37683380118315.0,East Village High,San Diego Unified,San Diego,15.0,7.0,22.08,21.2,21.42,21.36,3.85,0.55,15.0,5.0,3.0,0.6836,2.0,0.4786,2.0,0.4529,0.4666666666666667,0.3333333333333333
477,37684113730843.0,Eastlake High,Sweetwater Union High,San Diego,802.0,111.0,24.0,23.0,23.0,23.0,75.0,0.6757,802.0,428.0,377.0,0.8808,305.0,0.7126,294.0,0.6869,0.13840399002493767,0.5336658354114713
478,19642460108407.0,Eastside High,Antelope Valley Union High,Los Angeles,562.0,45.0,19.0,18.0,16.0,18.0,9.0,0.2,562.0,185.0,104.0,0.5622,18.0,0.0973,18.0,0.0973,0.0800711743772242,0.3291814946619217
480,19650940122432.0,Edgewood High,West Covina Unified,Los Angeles,192.0,8.0,22.08,21.2,21.42,21.36,4.4,0.55,192.0,92.0,71.0,0.7717,44.0,0.4783,41.0,0.4457,0.041666666666666664,0.4791666666666667
481,30665483031895.0,Edison High,Huntington Beach Union High,Orange,669.0,125.0,25.0,25.0,24.0,25.0,101.0,0.808,669.0,179.0,162.0,0.905,138.0,0.7709,134.0,0.7486,0.18684603886397608,0.26756352765321373
482,39686763932100.0,Edison High,Stockton Unified,San Joaquin,525.0,25.0,19.0,17.0,18.0,18.0,7.0,0.28,525.0,170.0,66.0,0.3882,33.0,0.1941,28.0,0.1647,0.047619047619047616,0.3238095238095238
483,10621661031897.0,Edison High,Fresno Unified,Fresno,560.0,67.0,23.0,21.0,21.0,21.0,36.0,0.5373,560.0,185.0,142.0,0.7676,93.0,0.5027,88.0,0.4757,0.11964285714285715,0.33035714285714285
486,19647251995570.0,Educational Partnership High,Long Beach Unified,Los Angeles,563.0,1.0,22.08,21.2,21.42,21.36,0.55,0.55,563.0,9.0,6.0,0.6836,4.0,0.4786,4.0,0.4529,0.0017761989342806395,0.015985790408525755
487,9618530930214.0,EDUHSD Virtual Academy at Shenandoah,El Dorado Union High,El Dorado,31.0,1.0,22.08,21.2,21.42,21.36,0.55,0.55,31.0,6.0,4.0,0.6836,3.0,0.4786,3.0,0.4529,0.03225806451612903,0.1935483870967742
488,39686760115402.0,Edward C. Merlo Institute of Environmental Studies,Stockton Unified,San Joaquin,36.0,5.0,22.08,21.2,21.42,21.36,2.75,0.55,36.0,8.0,5.0,0.6836,4.0,0.4786,4.0,0.4529,0.1388888888888889,0.2222222222222222
489,19647330117051.0,Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,233.0,20.0,18.0,17.0,18.0,19.0,7.0,0.35,233.0,97.0,44.0,0.4536,22.0,0.2268,20.0,0.2062,0.08583690987124463,0.41630901287553645
490,36678503633005.0,Eisenhower Senior High,Rialto Unified,San Bernardino,524.0,63.0,18.0,16.0,18.0,18.0,15.0,0.2381,524.0,124.0,57.0,0.4597,39.0,0.3145,35.0,0.2823,0.12022900763358779,0.2366412213740458
491,37681303731692.0,El Cajon Valley High,Grossmont Union High,San Diego,553.0,94.0,19.0,18.0,20.0,20.0,36.0,0.383,553.0,85.0,57.0,0.6706,45.0,0.5294,42.0,0.4941,0.16998191681735986,0.15370705244122965
492,34674473432317.0,El Camino Fundamental High,San Juan Unified,Sacramento,321.0,46.0,25.0,23.0,24.0,24.0,37.0,0.8043,321.0,119.0,102.0,0.8571,75.0,0.6303,74.0,0.6218,0.14330218068535824,0.3707165109034268
493,56726525630298.0,El Camino High,Ventura Unified,Ventura,83.0,9.0,22.08,21.2,21.42,21.36,4.95,0.55,83.0,27.0,22.0,0.8148,17.0,0.6296,17.0,0.6296,0.10843373493975904,0.3253012048192771
494,41690704132551.0,El Camino High,South San Francisco Unified,San Mateo,315.0,21.0,24.0,24.0,24.0,22.0,17.0,0.8095,315.0,150.0,125.0,0.8333,104.0,0.6933,100.0,0.6667,0.06666666666666667,0.47619047619047616
495,37735693739018.0,El Camino High,Oceanside Unified,San Diego,795.0,125.0,20.0,20.0,21.0,21.0,63.0,0.504,795.0,246.0,188.0,0.7642,152.0,0.6179,140.0,0.5691,0.15723270440251572,0.30943396226415093
496,19647331932623.0,El Camino Real Charter High,Los Angeles Unified,Los Angeles,904.0,122.0,25.0,26.0,25.0,24.0,101.0,0.8279,904.0,306.0,266.0,0.8693,204.0,0.6667,199.0,0.6503,0.13495575221238937,0.33849557522123896
497,30666473031945.0,El Camino Real Continuation High,Placentia-Yorba Linda Unified,Orange,93.0,1.0,22.08,21.2,21.42,21.36,0.55,0.55,93.0,5.0,3.0,0.6836,2.0,0.4786,2.0,0.4529,0.010752688172043012,0.053763440860215055
498,37681303731809.0,El Capitan High,Grossmont Union High,San Diego,406.0,56.0,22.0,21.0,20.0,21.0,30.0,0.5357,406.0,103.0,81.0,0.7864,49.0,0.4757,48.0,0.466,0.13793103448275862,0.2536945812807882
499,24657890127373.0,El Capitan High,Merced Union High,Merced,373.0,96.0,20.0,18.0,19.0,19.0,31.0,0.3229,373.0,142.0,91.0,0.6408,46.0,0.3239,44.0,0.3099,0.257372654155496,0.3806970509383378
500,7617960732941.0,El Cerrito High,West Contra Costa Unified,Contra Costa,331.0,48.0,24.0,23.0,23.0,23.0,29.0,0.6042,331.0,254.0,155.0,0.6102,100.0,0.3937,96.0,0.378,0.14501510574018128,0.7673716012084593
501,54722565430368.0,El Diamante High,Visalia Unified,Tulare,461.0,49.0,20.0,20.0,21.0,21.0,22.0,0.449,461.0,100.0,82.0,0.82,55.0,0.55,53.0,0.53,0.10629067245119306,0.21691973969631237
502,9618530932756.0,El Dorado High,El Dorado Union High,El Dorado,235.0,48.0,23.0,21.0,21.0,21.0,26.0,0.5417,235.0,61.0,51.0,0.8361,37.0,0.6066,36.0,0.5902,0.20425531914893616,0.25957446808510637
503,30666473031929.0,El Dorado High,Placentia-Yorba Linda Unified,Orange,462.0,71.0,25.0,24.0,25.0,24.0,57.0,0.8028,462.0,176.0,158.0,0.8977,139.0,0.7898,133.0,0.7557,0.15367965367965367,0.38095238095238093
504,30666213031952.0,El Modena High,Orange Unified,Orange,526.0,42.0,24.0,24.0,24.0,23.0,29.0,0.6905,526.0,492.0,255.0,0.5183,164.0,0.3333,150.0,0.3049,0.07984790874524715,0.935361216730038
505,49706074931507.0,El Molino High,West Sonoma County Union High,Sonoma,131.0,22.0,24.0,22.0,22.0,23.0,13.0,0.5909,131.0,43.0,38.0,0.8837,30.0,0.6977,28.0,0.6512,0.16793893129770993,0.3282442748091603
506,19645191932664.0,El Monte High,El Monte Union High,Los Angeles,397.0,114.0,19.0,18.0,20.0,19.0,42.0,0.3684,397.0,122.0,66.0,0.541,53.0,0.4344,42.0,0.3443,0.2871536523929471,0.30730478589420657
507,27661590124610.0,El Puente,Salinas Union High,Monterey,146.0,1.0,22.08,21.2,21.42,21.36,0.55,0.55,146.0,1.0,1.0,0.6836,0.0,0.4786,0.0,0.4529,0.00684931506849315,0.00684931506849315
508,19645271932706.0,El Rancho High,El Rancho Unified,Los Angeles,592.0,218.0,19.0,18.0,19.0,19.0,62.0,0.2844,592.0,266.0,164.0,0.6165,95.0,0.3571,85.0,0.3195,0.36824324324324326,0.44932432432432434
509,19645351932763.0,El Segundo High,El Segundo Unified,Los Angeles,292.0,109.0,25.0,25.0,24.0,24.0,78.0,0.7156,292.0,140.0,132.0,0.9429,95.0,0.6786,92.0,0.6571,0.3732876712328767,0.4794520547945205
511,30736353030061.0,El Toro High,Saddleback Valley Unified,Orange,559.0,113.0,23.0,23.0,23.0,23.0,75.0,0.6637,559.0,189.0,160.0,0.8466,126.0,0.6667,120.0,0.6349,0.20214669051878353,0.33810375670840787
512,54105466119291.0,Eleanor Roosevelt Community Learning Center,Tulare County Office of Education,Tulare,5.0,1.0,22.08,21.2,21.42,21.36,0.55,0.55,5.0,2.0,1.0,0.6836,1.0,0.4786,1.0,0.4529,0.2,0.4
513,33670330110627.0,Eleanor Roosevelt High,Corona-Norco Unified,Riverside,1083.0,190.0,23.0,21.0,22.0,22.0,111.0,0.5842,1083.0,543.0,426.0,0.7845,318.0,0.5856,293.0,0.5396,0.17543859649122806,0.5013850415512465
514,48705734830113.0,Elise P. Buckingham Charter Magnet High,Vacaville Unified,Solano,121.0,9.0,22.08,21.2,21.42,21.36,4.95,0.55,121.0,38.0,35.0,0.9211,23.0,0.6053,22.0,0.5789,0.0743801652892562,0.3140495867768595
517,19647336016885.0,Elizabeth Learning Center,Los Angeles Unified,Los Angeles,129.0,5.0,22.08,21.2,21.42,21.36,2.75,0.55,129.0,76.0,30.0,0.3947,11.0,0.1447,9.0,0.1184,0.03875968992248062,0.5891472868217055
519,34673143432572.0,Elk Grove High,Elk Grove Unified,Sacramento,475.0,97.0,24.0,22.0,23.0,22.0,62.0,0.6392,475.0,139.0,115.0,0.8273,90.0,0.6475,85.0,0.6115,0.20421052631578948,0.2926315789473684
521,49709204930160.0,Elsie Allen High,Santa Rosa High,Sonoma,225.0,13.0,22.08,21.2,21.42,21.36,7.15,0.55,225.0,40.0,20.0,0.5,5.0,0.125,5.0,0.125,0.057777777777777775,0.17777777777777778
522,33751763332350.0,Elsinore High,Lake Elsinore Unified,Riverside,437.0,14.0,22.08,21.2,21.42,21.36,7.7,0.55,437.0,137.0,105.0,0.7664,67.0,0.4891,61.0,0.4453,0.032036613272311214,0.3135011441647597
527,34674473432838.0,Encina Preparatory High,San Juan Unified,Sacramento,149.0,7.0,22.08,21.2,21.42,21.36,3.85,0.55,149.0,13.0,9.0,0.6836,6.0,0.4786,6.0,0.4529,0.04697986577181208,0.087248322147651
528,1611190132142.0,Encinal Junior/Senior High,Alameda Unified,Alameda,233.0,44.0,26.0,26.0,25.0,24.0,36.0,0.8182,233.0,92.0,69.0,0.75,54.0,0.587,51.0,0.5543,0.1888412017167382,0.3948497854077253
530,36750440116707.0,Encore Jr./Sr. High School for the Performing and Visual Arts,Hesperia Unified,San Bernardino,113.0,37.0,20.0,18.0,17.0,17.0,10.0,0.2703,113.0,42.0,30.0,0.7143,5.0,0.119,5.0,0.119,0.3274336283185841,0.37168141592920356
532,19647330122382.0,Engineering and Technology Academy at Esteban E. Torres High No. 3,Los Angeles Unified,Los Angeles,72.0,2.0,22.08,21.2,21.42,21.36,1.1,0.55,72.0,48.0,12.0,0.25,4.0,0.0833,3.0,0.0625,0.027777777777777776,0.6666666666666666
534,45701364532750.0,Enterprise High,Shasta Union High,Shasta,302.0,10.0,22.08,21.2,21.42,21.36,5.5,0.55,302.0,54.0,46.0,0.8519,35.0,0.6481,33.0,0.6111,0.033112582781456956,0.17880794701986755
535,19646911996438.0,Environmental Charter High,Lawndale Elementary,Los Angeles,126.0,96.0,17.0,17.0,18.0,17.0,19.0,0.1979,126.0,95.0,50.0,0.5263,29.0,0.3053,22.0,0.2316,0.7619047619047619,0.753968253968254
539,36677103630019.0,Eric Birch High (Continuation),Fontana Unified,San Bernardino,142.0,113.0,13.0,11.0,14.0,13.0,0.0,0.0,142.0,1.0,1.0,0.6836,0.0,0.4786,0.0,0.4529,0.795774647887324,0.007042253521126761
540,10621661030295.0,Erma Duncan Polytechnical High,Fresno Unified,Fresno,210.0,2.0,22.08,21.2,21.42,21.36,1.1,0.55,210.0,55.0,28.0,0.5091,10.0,0.1818,7.0,0.1273,0.009523809523809525,0.2619047619047619
542,42693104234613.0,Ernest Righetti High,Santa Maria Joint Union High,Santa Barbara,536.0,58.0,21.0,20.0,22.0,21.0,29.0,0.5,536.0,132.0,98.0,0.7424,73.0,0.553,68.0,0.5152,0.10820895522388059,0.2462686567164179
543,19647250127381.0,Ernest S. McBride Sr. High,Long Beach Unified,Los Angeles,165.0,24.0,24.0,24.0,22.0,23.0,15.0,0.625,165.0,146.0,127.0,0.8699,88.0,0.6027,86.0,0.589,0.14545454545454545,0.8848484848484849
544,39685023932308.0,Escalon High,Escalon Unified,San Joaquin,188.0,16.0,21.0,19.0,21.0,22.0,10.0,0.625,188.0,63.0,48.0,0.7619,30.0,0.4762,28.0,0.4444,0.0851063829787234,0.3351063829787234
545,37681063731023.0,Escondido Charter High,Escondido Union High,San Diego,210.0,27.0,24.0,23.0,25.0,24.0,20.0,0.7407,210.0,73.0,66.0,0.9041,53.0,0.726,52.0,0.7123,0.12857142857142856,0.3476190476190476
546,37681063732062.0,Escondido High,Escondido Union High,San Diego,580.0,137.0,19.0,17.0,18.0,19.0,38.0,0.2774,580.0,191.0,122.0,0.6387,64.0,0.3351,63.0,0.3298,0.23620689655172414,0.3293103448275862
549,30666473030053.0,Esperanza High,Placentia-Yorba Linda Unified,Orange,355.0,83.0,24.0,23.0,23.0,23.0,57.0,0.6867,355.0,124.0,105.0,0.8468,98.0,0.7903,96.0,0.7742,0.23380281690140844,0.3492957746478873
550,30665973032000.0,Estancia High,Newport-Mesa Unified,Orange,325.0,22.0,20.0,20.0,19.0,20.0,7.0,0.3182,325.0,89.0,43.0,0.4831,29.0,0.3258,26.0,0.2921,0.06769230769230769,0.27384615384615385
551,19647330122341.0,Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,85.0,27.0,15.0,14.0,16.0,16.0,3.0,0.1111,85.0,31.0,11.0,0.3548,1.0,0.0323,1.0,0.0323,0.3176470588235294,0.36470588235294116
552,36676523630373.0,Etiwanda High,Chaffey Joint Union High,San Bernardino,851.0,84.0,21.0,21.0,22.0,22.0,48.0,0.5714,851.0,399.0,323.0,0.8095,216.0,0.5414,205.0,0.5138,0.09870740305522914,0.4688601645123384
553,47764554733309.0,Etna Union High,Scott Valley Unified,Siskiyou,43.0,27.0,20.0,20.0,21.0,21.0,11.0,0.4074,43.0,16.0,9.0,0.5625,7.0,0.4375,6.0,0.375,0.627906976744186,0.37209302325581395
554,19647250132324.0,Eunice Sato Academy of Math & Science,Long Beach Unified,Los Angeles,103.0,11.0,22.08,21.2,21.42,21.36,6.05,0.55,103.0,79.0,75.0,0.9494,71.0,0.8987,69.0,0.8734,0.10679611650485436,0.7669902912621359
555,12755151232206.0,Eureka Senior High,Eureka City Schools,Humboldt,266.0,23.0,24.0,22.0,23.0,22.0,16.0,0.6957,266.0,58.0,48.0,0.8276,33.0,0.569,32.0,0.5517,0.08646616541353383,0.21804511278195488
556,41690620119503.0,Everest Public High,Sequoia Union High,San Mateo,86.0,51.0,19.0,17.0,18.0,19.0,12.0,0.2353,86.0,42.0,21.0,0.5,9.0,0.2143,5.0,0.119,0.5930232558139535,0.4883720930232558
557,27661592730166.0,Everett Alvarez High,Salinas Union High,Monterey,607.0,122.0,19.0,18.0,18.0,18.0,34.0,0.2787,607.0,161.0,102.0,0.6335,51.0,0.3168,48.0,0.2981,0.20098846787479407,0.2652388797364086
558,43694274330692.0,Evergreen Valley High,East Side Union High,Santa Clara,712.0,122.0,29.0,29.0,29.0,28.0,114.0,0.9344,712.0,344.0,316.0,0.9186,295.0,0.8576,287.0,0.8343,0.17134831460674158,0.48314606741573035
559,36103633630761.0,Excelsior Charter,San Bernardino County Office of Education,San Bernardino,279.0,13.0,22.08,21.2,21.42,21.36,7.15,0.55,279.0,77.0,56.0,0.7273,24.0,0.3117,22.0,0.2857,0.04659498207885305,0.27598566308243727
561,54768365431598.0,Exeter Union High,Exeter Unified,Tulare,187.0,18.0,25.0,23.0,20.0,23.0,13.0,0.7222,187.0,50.0,34.0,0.68,17.0,0.34,15.0,0.3,0.0962566844919786,0.26737967914438504
562,19647331932920.0,Fairfax Senior High,Los Angeles Unified,Los Angeles,361.0,36.0,21.0,21.0,21.0,20.0,12.0,0.3333,361.0,200.0,125.0,0.625,94.0,0.47,85.0,0.425,0.0997229916897507,0.554016620498615
563,48705404833000.0,Fairfield High,Fairfield-Suisun Unified,Solano,304.0,12.0,22.08,21.2,21.42,21.36,6.6,0.55,304.0,60.0,35.0,0.5833,15.0,0.25,14.0,0.2333,0.039473684210526314,0.19736842105263158
564,45699894533600.0,Fall River Junior-Senior High,Fall River Joint Unified,Shasta,35.0,12.0,22.08,21.2,21.42,21.36,6.6,0.55,35.0,6.0,4.0,0.6836,3.0,0.4786,3.0,0.4529,0.34285714285714286,0.17142857142857143
565,37681223732179.0,Fallbrook High,Fallbrook Union High,San Diego,464.0,40.0,23.0,22.0,22.0,21.0,25.0,0.625,464.0,105.0,78.0,0.7429,53.0,0.5048,51.0,0.4857,0.08620689655172414,0.22629310344827586
567,42691120111773.0,Family Partnership Charter,Blochman Union Elementary,Santa Barbara,47.0,2.0,22.08,21.2,21.42,21.36,1.1,0.55,47.0,2.0,1.0,0.6836,1.0,0.4786,1.0,0.4529,0.0425531914893617,0.0425531914893617
568,54753255430210.0,Farmersville High,Farmersville Unified,Tulare,170.0,46.0,18.0,16.0,17.0,17.0,8.0,0.1739,170.0,60.0,21.0,0.35,6.0,0.1,6.0,0.1,0.27058823529411763,0.35294117647058826
569,19647330119966.0,Felicitas and Gonzalo Mendez High,Los Angeles Unified,Los Angeles,247.0,13.0,22.08,21.2,21.42,21.36,7.15,0.55,247.0,139.0,57.0,0.4101,27.0,0.1942,21.0,0.1511,0.05263157894736842,0.562753036437247
570,12753741232909.0,Ferndale High,Ferndale Unified,Humboldt,34.0,2.0,22.08,21.2,21.42,21.36,1.1,0.55,34.0,11.0,8.0,0.6836,5.0,0.4786,5.0,0.4529,0.058823529411764705,0.3235294117647059
571,56724545632021.0,Fillmore Senior High,Fillmore Unified,Ventura,250.0,29.0,24.0,23.0,23.0,23.0,19.0,0.6552,250.0,116.0,84.0,0.7241,61.0,0.5259,57.0,0.4914,0.116,0.464
572,10738091030121.0,Firebaugh High,Firebaugh-Las Deltas Unified,Fresno,167.0,31.0,16.0,15.0,16.0,17.0,3.0,0.0968,167.0,84.0,40.0,0.4762,6.0,0.0714,5.0,0.0595,0.18562874251497005,0.5029940119760479
574,34673143430477.0,Florin High,Elk Grove Unified,Sacramento,322.0,94.0,19.0,18.0,20.0,19.0,30.0,0.3191,322.0,124.0,62.0,0.5,39.0,0.3145,29.0,0.2339,0.2919254658385093,0.38509316770186336
575,34673303433216.0,Folsom High,Folsom-Cordova Unified,Sacramento,552.0,127.0,27.0,27.0,27.0,26.0,109.99,0.8661,552.0,209.0,194.0,0.9282,167.0,0.799,164.0,0.7847,0.23007246376811594,0.3786231884057971
576,36677103630555.0,Fontana A. B. Miller High,Fontana Unified,San Bernardino,507.0,447.0,16.0,14.0,17.0,16.0,53.01,0.1186,507.0,171.0,109.0,0.6374,58.0,0.3392,55.0,0.3216,0.8816568047337278,0.33727810650887574
577,36677103633302.0,Fontana High,Fontana Unified,San Bernardino,538.0,496.0,15.0,13.0,16.0,16.0,42.01,0.0847,538.0,218.0,95.0,0.4358,52.0,0.2385,38.0,0.1743,0.9219330855018587,0.4052044609665427
578,1751010130096.0,Foothill High,Pleasanton Unified,Alameda,498.0,196.0,28.0,28.0,28.0,27.0,176.01,0.898,498.0,179.0,173.0,0.9665,153.0,0.8547,151.0,0.8436,0.39357429718875503,0.35943775100401604
579,15635291532605.0,Foothill High,Kern High,Kern,471.0,15.0,20.0,18.0,21.0,19.0,6.0,0.4,471.0,120.0,60.0,0.5,39.0,0.325,35.0,0.2917,0.03184713375796178,0.25477707006369427
580,45701364530044.0,Foothill High,Shasta Union High,Shasta,317.0,29.0,26.0,23.0,23.0,23.0,22.0,0.7586,317.0,61.0,53.0,0.8689,39.0,0.6393,38.0,0.623,0.0914826498422713,0.19242902208201892
